weight_t,weight_value,airflow_t,airflow_value
83.68888889,301.8138733,115.5597222,185.9025879
83.88611111,303.8881531,116.0597222,190.1345673
83.97083333,303.7022095,116.3094444,188.7159424
84.33166667,304.3459473,116.5594444,188.3821564
84.36361111,303.3874817,116.8094444,189.4312286
84.68583333,304.1170654,117.0594444,187.702652
84.70944444,304.3316345,117.3094444,188.5013733
84.71361111,303.9310913,117.8094444,186.379425
85.44833333,305.6763611,118.0591667,190.1584167
85.4525,305.4474182,118.3091667,187.6549683
85.51361111,305.1327209,118.5591667,189.9080658
86.10361111,305.6477661,118.8091667,187.297348
86.16888889,305.5618591,119.0591667,190.516037
86.28416667,305.6763611,119.3091667,188.7874756
86.33555556,305.5189819,119.5588889,187.297348
86.98694444,306.3630066,120.0588889,185.8787384
86.98972222,305.9052429,120.3088889,188.7278748
87.07166667,305.7192383,120.8088889,189.8007813
87.4425,306.148407,121.0588889,188.3702393
87.72,306.3916321,121.3086111,188.7278748
88.08111111,306.4202271,121.8086111,186.5582275
88.195,306.4917297,122.0586111,188.4060059
88.48805556,306.2914429,122.3086111,185.556839
88.59916667,306.4345093,122.5583333,188.0126038
88.65194444,306.5203247,122.8083333,185.9502716
88.66444444,306.9208679,123.0583333,187.6788177
88.88111111,306.0339661,123.3083333,186.9397125
89.33638889,306.7206116,123.5583333,187.2734985
89.44888889,306.8636475,123.8083333,188.7278748
89.63083333,306.9638367,124.0583333,186.2244415
89.96138889,306.3344116,124.3080556,186.7728119
90.20583333,306.8922729,124.8080556,191.4816437
90.25722222,306.9352112,125.0580556,188.0483704
90.33361111,306.5489502,125.8080556,185.4972382
90.70972222,307.3357544,126.0577778,187.2854309
90.92361111,307.3214722,126.3077778,187.4642334
91.025,307.1784058,126.5577778,186.5939941
91.20138889,306.6347656,126.8077778,188.8709259
91.46388889,307.5360413,127.0577778,186.2244415
91.81111111,307.2356262,127.3077778,187.6907349
91.90416667,307.3214722,127.5575,187.7503357
92.14,306.2485657,127.8075,188.5728912
92.40666667,309.3956909,128.0575,186.9277954
92.56916667,307.907959,128.3075,186.6774445
92.71638889,307.8078003,128.5575,189.4073944
92.90944444,308.6804504,128.8075,188.0006714
93.26777778,308.265564,129.0575,186.2006073
93.42472222,308.2512817,129.3072222,189.1093445
93.95083333,307.9222412,129.5572222,189.085495
94.02583333,308.7090454,129.8072222,189.4193115
94.07444444,308.5516663,130.0572222,188.3583221
94.19527778,308.5802612,130.3072222,190.8498383
94.48277778,306.6919861,130.5569444,189.4908447
94.70638889,309.2383423,130.8069444,186.450943
94.93,307.8221436,131.0569444,188.549057
95.02305556,308.0652771,131.3069444,186.9158783
95.37861111,308.4372253,131.5569444,186.0575562
95.63944444,308.0223999,131.8069444,189.4193115
95.73388889,308.179718,132.0569444,187.2854309
95.78666667,308.1940613,132.3066667,190.313385
95.98111111,307.8221436,132.8066667,184.8654327
96.34083333,309.0809937,133.0566667,186.9277954
96.52694444,308.8807068,133.3066667,187.6549683
96.8075,308.5946045,133.5566667,186.6059113
96.80888889,309.1382141,133.8066667,188.0960388
96.88666667,308.6661072,134.3063889,186.9397125
97.37805556,308.7376709,134.5563889,186.9277954
97.90861111,308.894989,135.0563889,188.9782104
98.07388889,308.8521118,135.3063889,185.5449219
98.21,308.9951477,135.5561111,188.7278748
98.45138889,308.7805481,136.0561111,185.8668213
98.65138889,309.0094604,136.3061111,189.085495
98.92222222,308.9808655,136.8061111,186.2363739
99.08055556,309.1239014,137.0561111,187.96492
99.22777778,308.8807068,137.3058333,188.0722046
99.70138889,309.1954346,137.5558333,185.2349854
99.90138889,308.8663635,137.8058333,188.7278748
100.3316667,308.8234863,138.3058333,182.6361847
100.8622222,309.0237732,138.5555556,188.7159424
101.1552778,309.0094604,138.8055556,190.2418518
101.365,308.7662659,139.0555556,187.5
101.7858333,309.2097473,139.3055556,186.0813904
102.0077778,309.0237732,139.8055556,187.9530029
102.1605556,309.1668091,140.0555556,187.6669006
102.4244444,308.9951477,140.3052778,186.582077
102.7883333,309.3098755,140.8052778,190.1464844
102.9244444,309.0523682,141.0552778,189.085495
103.1091667,309.2955627,141.5552778,186.6059113
103.4855556,309.1668091,141.8052778,184.6031647
